condition,timepoint,R-AC_mean,R-AC_sd,S-AC_mean,S-AC_sd,SS-BDO_mean,SS-BDO_sd,RR-BDO_mean,RR-BDO_sd,M-BDO_mean,M-BDO_sd,Total_mean,Total_sd
a,6,0.13400627586287966,0.002585681702103909,2.0332097204312793,0.04964110065919352,1.0212782932680093,0.020935008307118048,0.016358385230493717,0.028333554348999437,1.776264889398383,0.05110729024772356,4.981117564191045,0.00971329956533643
a,11,0.1370887883477806,0.0014788194817722117,1.7982140100941875,0.02001353163643616,1.5375097180416,0.013092363955691352,0.014044634466196868,0.02432602046918597,1.304480260830178,0.05326479658955534,4.791337411779943,0.06461152114180202
a,24,0,0,1.3438535438952803,0.0401846096742863,2.589856967462209,0.005726227155028702,0,0,0.8388707636671002,0.02905736132433615,4.7725812750245895,0.07205793469382522
a,46,0.1681516202274668,0.0022267806926323836,0.9887046486652602,0.036245603911727806,3.212856516428895,0.020110719375686505,0,0,0.522816460712446,0.01108061917670909,4.892529246034068,0.061294042683126757
b,6,0,0,0.1921919490403038,0.003019370794612177,0,0,0,0,4.8010036266102665,0.15303936891281145,4.99319557565057,0.15009906552048669
b,11,0,0,0.24876437796878273,0.0011298503473546058,0,0,0,0,4.814586171853012,0.12160532414910283,5.063350549821794,0.12056596945107925
b,24,0,0,0.3500565438546683,0.007357925012671507,0,0,0,0,4.723800109652728,0.07815297044535022,5.073856653507396,0.07099016412803819
b,46,0,0,0.43378987646834366,0.0109796723207496,0,0,0,0,4.577338153203369,0.1449980562773887,5.011128029671713,0.1513484564266253
c,6,0.12401178990913574,0.0013737834255800217,1.6267919463804061,0.02872177106603659,1.52479162748986,0.06017104161253476,0.016747369790571242,0.02900729537041354,1.579648966803766,0.0396086593670303,4.871991700373739,0.0443061106965022
c,11,0.1264381582406032,5.860079409329451e-4,1.3088767289728238,0.01446697752649005,2.1983928616183803,0.022459131899658036,0.039755126081700544,0.03443447120920183,1.0746105237983432,0.06407761576289583,4.748073398711851,0.08222178374675963
c,24,0,0,0.7227113332513053,0.016359050840083923,3.5382974047718943,0.03196280508991921,0,0,0.4544116671007309,0.026955852219685474,4.715420405123931,0.03146849944740593
c,46,0.13864134427438893,3.253895850652236e-4,0.3655808596929478,0.010220933082668917,4.075728218404008,0.029408780199695624,0,0,0.1761758076939107,0.00811689391882078,4.756126230065255,0.027095641650235647
d,6,0.1133086304609289,0.0012372875778686246,1.235562789535496,0.017115691402508827,1.7573801753841978,0.019506807659691875,0.05716213340911441,3.5769425832033326e-4,1.746678320882819,0.04798033040798098,4.9100920496725555,0.015877913408477565
d,11,0.11678240114576928,0.0013650186102642944,0.9579925493572912,0.0017665569259329424,2.468617682262337,0.04292636476444352,0.04284317845969515,0.03710363178195218,1.1456900112046287,0.05014730752602186,4.731925822429721,0.05133922772398186
d,24,0,0,0.46278221439865797,0.02190032557771601,3.8632827625773056,0.045698801632864675,0,0,0.36211476247146696,0.028087742231433423,4.68817973944743,0.08825736105712816
d,46,0.12642950220724863,3.209303496782356e-4,0.20666722797650047,0.0027054417035103705,4.291440653570786,0.07571156744911943,0,0,0.10188551354918059,0.0031340265126442433,4.726422897303716,0.08071759513390923
e,6,0,0,0.7084261789588108,0.010221037241250128,2.342762311480529,0.07327269811882384,0.06382768614549929,8.150159449350881e-4,1.6243909902047693,0.07372599558223206,4.739407166789609,0.1568306662622972
e,11,0.10285006730675894,3.5913569103224256e-4,0.5256351463680381,0.011138985262863128,3.0866749267181355,0.0465176681176288,0.07031663151539923,6.865577253972959e-4,0.8870446517799621,0.0062943110857571856,4.672521423688294,0.057492211677344876
e,24,0,0,0.25068577876619197,0.0048559383551260915,4.237701459287527,0.06588582877674826,0,0,0.19028631966858325,0.005477272071272961,4.678673557722302,0.06624858696566428
e,46,0.11520166857154616,0.0010470346228683904,0.20212544787225026,0.013681355488718286,4.237589988734665,0.028385214268724902,0,0,0.09937614586586464,0.00399934630443106,4.654293251044327,0.040126216803048995
f,6,0.13948958945227452,0.0013358841837795704,2.474179635436213,0.07123429476700766,1.1206507449704577,0.03802499813939608,0,0,1.3086140567096103,0.016541216952980484,5.042934026568555,0.05108639776437163
f,11,0.13997051442729905,0.0010790716359719203,2.073130688456415,0.032054943699276015,1.6648900414528196,0.022942964866005416,0,0,1.0113669766612134,0.020918114622059284,4.889358220997747,0.04218240300937267
f,24,0,0,1.4629624511124755,0.030528121444031574,2.555816924739891,0.055685149168580805,0,0,0.6628606710767854,0.01983063465929903,4.681640046929152,0.058606941045029455
f,46,0.1619021341160785,0.0012779684718433142,1.119644353725065,0.02431638215290706,3.1032761042696593,0.03259634417719871,0,0,0.4499052002739323,0.01293839029670228,4.834727792384735,0.04106476993960874
g,6,0.08901297983655919,0.07777953880193844,0.3567044646904052,0.10449592480590261,0.5490619800295242,0.11541099238568614,0.1277344515373351,0.010279243481029732,4.190187940757635,0.11029717717004729,5.312701816851459,0.08267583205384751
g,11,0.035111936472110576,0.06081565792182624,0.35670997152495765,0.06619806313196011,0.5333596647152716,0.08054505328808134,0.12562512609758056,0.011978967364230821,4.250713985548331,0.14698221291006058,5.301520684358252,0.09090391709467775
g,24,0,0,0.36276319422248887,0.06130801724580663,0.5287846086442065,0.07584440404540857,0.12218186834185354,0.008691896121199623,4.193678557799761,0.12318744974122794,5.20740822900831,0.12688277735844267
g,46,0.10664681582818865,0.006606331688971227,0.3569514822090384,0.06427408268125416,0.538580822409586,0.07693548083004338,0.12510119208531245,0.012743662396236448,4.225286370205728,0.09178140347684415,5.352566682737853,0.07526840002624759
h,6,0,0,0,0,0,0,0,0,4.585172125475625,0.041482259402963025,4.585172125475625,0.041482259402963025
h,11,0,0,0,0,0,0,0,0,4.53625578407263,0.04962891600462206,4.53625578407263,0.04962891600462206
h,24,0,0,0,0,0,0,0,0,4.504436214657631,0.08241890355361288,4.504436214657631,0.08241890355361288
h,46,0,0,0,0,0,0,0,0,4.530998137302062,0.028956172091513587,4.530998137302062,0.028956172091513587
i,0,0,0,0,0,0,0,0,0,5.10004660211088,0.11657771282326805,5.10004660211088,0.11657771282326805
